[16-5-2014 09:39:48] Loaded CFG file c:\TimetrackerMonitor\config.txt
[16-5-2014 03:26:32] Monitored ON time: 20
[16-5-2014 03:27:33] Tracker is counting time.
[16-5-2014 03:27:33] Monitored ON time: 21
[16-5-2014 03:28:33] Tracker is counting time.
[16-5-2014 03:28:33] Monitored ON time: 22
[16-5-2014 03:29:33] Tracker is counting time.
[16-5-2014 03:29:33] Monitored ON time: 23
[16-5-2014 03:30:34] Tracker is counting time.
[16-5-2014 03:30:34] Monitored ON time: 24
[16-5-2014 03:31:34] Tracker is counting time.
[16-5-2014 03:31:34] Monitored ON time: 25
[16-5-2014 03:32:35] Tracker is counting time.
[16-5-2014 03:32:35] Monitored ON time: 26
[16-5-2014 03:33:35] Tracker is counting time.
[16-5-2014 03:33:35] Monitored ON time: 27
[16-5-2014 03:34:36] Tracker is counting time.
[16-5-2014 03:34:36] Monitored ON time: 28
[16-5-2014 03:35:36] Tracker is counting time.
[16-5-2014 03:35:36] Monitored ON time: 29
[16-5-2014 03:35:36] GOTO Pray :)
[16-5-2014 03:36:39] Tracker is counting time.
[16-5-2014 03:36:40] Monitored ON time: 30
[16-5-2014 03:37:40] Tracker is counting time.
[16-5-2014 03:37:40] Monitored ON time: 31
[16-5-2014 03:38:40] Tracker is counting time.
[16-5-2014 03:38:40] Monitored ON time: 32
[16-5-2014 03:39:41] Tracker is counting time.
[16-5-2014 03:39:41] Monitored ON time: 33
[16-5-2014 03:40:41] Tracker is counting time.
[16-5-2014 03:40:41] Monitored ON time: 34
[16-5-2014 03:41:42] Tracker is counting time.
[16-5-2014 03:41:42] Monitored ON time: 35
[16-5-2014 03:42:42] Tracker is counting time.
[16-5-2014 03:42:42] Monitored ON time: 36
[16-5-2014 03:43:42] Tracker is counting time.
[16-5-2014 03:43:42] Monitored ON time: 37
[16-5-2014 03:44:43] Tracker is counting time.
[16-5-2014 03:44:43] Monitored ON time: 38
[16-5-2014 03:45:47] Tracker is NOT counting time.
[16-5-2014 03:45:50] monitored OFF time: 0
[16-5-2014 03:46:57] Tracker is NOT counting time.
[16-5-2014 03:47:00] monitored OFF time: 1
[16-5-2014 03:48:06] Tracker is NOT counting time.
[16-5-2014 03:48:09] monitored OFF time: 2
